Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr3436466693,Hong Kong,"Aug 26, 2010",134178,506793,Avatar,9.66,5919207.167,0.827073667
gr3436466693,Australia,"Aug 26, 2010",,707524,Avatar,15.19,18498005,0.580997224
gr3436466693,Singapore,"Aug 26, 2010",58469,176601,Avatar,8.68,3751220.333,0.408639468
gr3436466693,Russia,"Aug 26, 2010",,6058233,Avatar,8.3,141925333,0.354294282
gr3436466693,New Zealand,"Aug 26, 2010",,94353,Avatar,13.38,3735745.333,0.337936082
gr3436466693,South Korea,"Aug 26, 2010",843911,1627659,Avatar,8.41,43558961.5,0.314254788
gr3436466693,Latvia,"Aug 26, 2010",,33598,Avatar,7.79,2325512.333,0.112546563
gr3436466693,Malaysia,"Aug 26, 2010",125379,381873,Avatar,3.66,21066721.83,0.066344218
gr3436466693,Ukraine,"Aug 26, 2010",,551170,Avatar,5,47813625.5,0.057637336
gr3436466693,Hungary,"Aug 26, 2010",,54296,Avatar,6.58,10217626,0.034965821
gr3436466693,Croatia,"Aug 26, 2010",,22759,Avatar,5.89,4443180.667,0.030169944
gr3436466693,Mongolia,"Aug 26, 2010",,13652,Avatar,4.49,2258032.667,0.02714641
gr3436466693,Portugal,"Aug 26, 2010",,21874,Avatar,8.19,9897924.5,0.018099558
gr3436466693,China,"Aug 26, 2010",,1510328,Avatar,12.23,1183876577,0.015602396
gr3436466693,Ecuador,"Aug 26, 2010",,24692,Avatar,5,11604131.67,0.010639314
gr3436466693,United Arab Emirates,"Aug 26, 2010",,3382,Avatar,9.53,4109484.5,0.007842945
gr3436466693,Romania,"Aug 26, 2010",,25766,Avatar,6.07,21416780.67,0.007302667
gr3436466693,Vietnam,"Aug 26, 2010",,100111,Avatar,4.27,71815357.17,0.005952403
gr3436466693,Egypt,"Aug 26, 2010",,13330,Avatar,4.31,64647431.33,0.000888702
gr3436466693,Syria,"Aug 26, 2010",,,Avatar,4.24,13833586.83,0
gr3436466693,United Kingdom,"Aug 27, 2010",,3252118,Avatar,13.3,59864357.17,0.722519567
gr3436466693,Canada,"Aug 27, 2010",760507625,10741486,Avatar,16.47,268805839.8,0.658141484
gr3436466693,Taiwan,"Aug 27, 2010",48193,334362,Avatar,8.91,20379881,0.146181689
gr3436466693,Poland,"Aug 27, 2010",201334,663093,Avatar,7.18,36812042.67,0.129332887
gr3436466693,South Africa,"Aug 27, 2010",44325,102958,Avatar,4.63,40486736,0.011774116
gr3436466693,India,"Aug 27, 2010",,2923381,Avatar,3.22,966380256.3,0.009740769
gr3436466693,Philippines,"Aug 27, 2010",40972,131300,Avatar,3.81,71099351.67,0.007035971
gr3486798341,France,"Dec 16, 2009",17436397,174376309,Avatar,12.29,58077819.17,36.90022918
gr3486798341,Belgium,"Dec 16, 2009",1668859,15866546,Avatar,12.29,10386352.33,18.77462309
gr3486798341,Trinidad & Tobago,"Dec 16, 2009",,698251,Avatar,7,1254200,3.897111306
gr3486798341,Jordan,"Dec 16, 2009",,987790,Avatar,9.89,5042062.333,1.937549053
gr3486798341,Jamaica,"Dec 16, 2009",,491669,Avatar,9.29,2480787,1.841191932
gr3486798341,Egypt,"Dec 16, 2009",128647,2369317,Avatar,4.31,64647431.33,0.157960743
gr3486798341,Australia,"Dec 17, 2009",10652669,103866237,Avatar,15.19,18498005,85.29179985
gr3486798341,Switzerland,"Dec 17, 2009",,20109162,Avatar,20.21,7115768.333,57.11346196
gr3486798341,New Zealand,"Dec 17, 2009",1169159,12414961,Avatar,13.38,3735745.333,44.46560548
gr3486798341,Hong Kong,"Dec 17, 2009",2039648,23135165,Avatar,9.66,5919207.167,37.75601827
gr3486798341,Israel,"Dec 17, 2009",858048,13488099,Avatar,10.8,5485158.667,26.55738476
gr3486798341,Austria,"Dec 17, 2009",1255531,16121641,Avatar,12.29,8055927.167,24.59493039
gr3486798341,Germany,"Dec 17, 2009",13340780,156632531,Avatar,12.29,80321215.83,23.96644256
gr3486798341,Netherlands,"Dec 17, 2009",1652273,26874162,Avatar,12.29,15309963.83,21.57310459
gr3486798341,South Korea,"Dec 17, 2009",9718025,108305197,Avatar,8.41,43558961.5,20.91066167
gr3486798341,Singapore,"Dec 17, 2009",1674318,8174540,Avatar,8.68,3751220.333,18.91517983
gr3486798341,United Arab Emirates,"Dec 17, 2009",1030321,7311410,Avatar,9.53,4109484.5,16.95534739
gr3486798341,Greece,"Dec 17, 2009",1322081,14158758,Avatar,10.92,10151560,15.23052983
gr3486798341,Taiwan,"Dec 17, 2009",1156601,27611042,Avatar,8.91,20379881,12.07143379
gr3486798341,Qatar,"Dec 17, 2009",,1148698,Avatar,9.61,1023212,10.78856364
gr3486798341,Bahrain,"Dec 17, 2009",47103,1034364,Avatar,7.96,779245,10.56604462
gr3486798341,Kuwait,"Dec 17, 2009",,1784632,Avatar,10.65,2252674.833,8.437227832
gr3486798341,Portugal,"Dec 17, 2009",1109685,10109275,Avatar,8.19,9897924.5,8.364881168
gr3486798341,Slovenia,"Dec 17, 2009",138829,1917323,Avatar,7.51,1936968.167,7.433831891
gr3486798341,Russia,"Dec 17, 2009",19732998,116074219,Avatar,8.3,141925333,6.788189235
gr3486798341,Hungary,"Dec 17, 2009",713220,9296732,Avatar,6.58,10217626,5.986957886
gr3486798341,Chile,"Dec 17, 2009",1085054,10818765,Avatar,7.09,14333032.5,5.351627009
gr3486798341,Slovakia,"Dec 17, 2009",352659,2916247,Avatar,8.19,5181195.5,4.609759066
gr3486798341,Lebanon,"Dec 17, 2009",103148,1690463,Avatar,8,3885115.167,3.480901703
gr3486798341,Croatia,"Dec 17, 2009",155398,2029219,Avatar,5.89,4443180.667,2.689987378
gr3486798341,Mexico,"Dec 17, 2009",4998010,43763643,Avatar,4.5,90853938.33,2.167615374
gr3486798341,Malaysia,"Dec 17, 2009",1324098,7342721,Avatar,3.66,21066721.83,1.275678251
gr3486798341,Peru,"Dec 17, 2009",730256,5200137,Avatar,5.33,23589718.17,1.174949612
gr3486798341,Serbia and Montenegro,"Dec 17, 2009",60674,2515341,Avatar,4.17,10393841,1.009152629
gr3486798341,Dominican Republic,"Dec 17, 2009",,1440545,Avatar,5.12,7741915.5,0.952682886
gr3486798341,Bolivia,"Dec 17, 2009",155836,1454156,Avatar,5,7844776,0.926830798
gr3486798341,Ukraine,"Dec 17, 2009",1227149,8691077,Avatar,5,47813625.5,0.908849403
gr3486798341,Thailand,"Dec 17, 2009",1588449,9220251,Avatar,4.9,56794140.33,0.795491042
gr3486798341,Oman,"Dec 17, 2009",,207809,Avatar,7.79,2351070.333,0.688551119
gr3486798341,Philippines,"Dec 17, 2009",1230667,5956400,Avatar,3.81,71099351.67,0.319185527
gr3486798341,Indonesia,"Dec 17, 2009",984217,5809653,Avatar,3.87,195087678.2,0.115247448
gr3486798341,Syria,"Dec 17, 2009",,,Avatar,4.24,13833586.83,0
gr3486798341,Denmark,"Dec 18, 2009",1901522,25008139,Avatar,16.47,5314090.167,77.50791507
gr3486798341,Norway,"Dec 18, 2009",1395787,14646667,Avatar,18.14,4502651.167,59.00757788
gr3486798341,Sweden,"Dec 18, 2009",2110278,24364124,Avatar,16.83,8884951.833,46.15086436
gr3486798341,United States,"Dec 18, 2009",760507625,739024653,Avatar,16.47,268805839.8,45.93891382
gr3486798341,Iceland,"Dec 18, 2009",117750,1131489,Avatar,10.81,271622.8333,45.0308096
gr3486798341,United Kingdom,"Dec 18, 2009",13753111,147646580,Avatar,13.3,59864357.17,32.80248226
gr3486798341,Spain,"Dec 18, 2009",10989711,107309094,Avatar,10.92,40882502.83,28.66300313
gr3486798341,Finland,"Dec 18, 2009",525251,5892854,Avatar,16.39,5081881.167,19.00553631
gr3486798341,Czech Republic,"Dec 18, 2009",975170,12469493,Avatar,7.48,10340416.5,9.020120963
gr3486798341,Estonia,"Dec 18, 2009",103948,1261587,Avatar,7.85,1409605.833,7.025693081
gr3486798341,Venezuela,"Dec 18, 2009",879063,9060514,Avatar,12,21213332.5,5.125369529
gr3486798341,Latvia,"Dec 18, 2009",110989,1520588,Avatar,7.79,2325512.333,5.093664888
gr3486798341,Uruguay,"Dec 18, 2009",65570,1274650,Avatar,8.89,3164587.333,3.5807634
gr3486798341,Bulgaria,"Dec 18, 2009",392474,3982690,Avatar,6.86,8099868.333,3.373049076
gr3486798341,Lithuania,"Dec 18, 2009",116976,1537668,Avatar,7.12,3268554.167,3.349553228
gr3486798341,Brazil,"Dec 18, 2009",,57778619,Avatar,7.65,157978981.5,2.797881282
gr3486798341,Turkey,"Dec 18, 2009",1613474,17564479,Avatar,6.27,58780047.17,1.873582766
gr3486798341,Romania,"Dec 18, 2009",,6378691,Avatar,6.07,21416780.67,1.807865289
gr3486798341,Colombia,"Dec 18, 2009",,13189735,Avatar,4.86,36203117.5,1.770624093
gr3486798341,Ecuador,"Dec 18, 2009",317740,2688120,Avatar,5,11604131.67,1.158259867
gr3486798341,South Africa,"Dec 18, 2009",578035,7417291,Avatar,4.63,40486736,0.848229833
gr3486798341,Central America,"Dec 18, 2009",,5536710,Avatar,12.6,124553738,0.560099979
gr3486798341,Paraguay,"Dec 18, 2009",,120000,Avatar,6,4763927,0.151135817
gr3486798341,Vietnam,"Dec 18, 2009",,2094900,Avatar,4.27,71815357.17,0.124558637
gr3486798341,India,"Dec 18, 2009",,27997726,Avatar,3.22,966380256.3,0.093289031
gr3486798341,Ghana,"Dec 18, 2009",12374,59590,Avatar,7.73,18282717.17,0.025194871
gr3486798341,East Africa,"Dec 18, 2009",44215,942289,Avatar,5.12,218816136,0.022048281
gr3486798341,Nigeria,"Dec 18, 2009",19294,132847,Avatar,9.45,118590810.5,0.010586015
gr3486798341,Japan,"Dec 23, 2009",6890387,170640248,Avatar,17.67,121632403.2,24.78955528
gr3486798341,Poland,"Dec 25, 2009",2859402,30877702,Avatar,7.18,36812042.67,6.022537308
gr3436466693,Pakistan,"Dec 31, 2010",,105327,Avatar,4.76,131084147.2,0.003824692
gr3486798341,Argentina,"Jan 1, 2010",1273414,13778096,Avatar,8,34559675.5,3.189404021
gr3486798341,Mongolia,"Jan 1, 2010",,174906,Avatar,4.49,2258032.667,0.347792993
gr3486798341,Pakistan,"Jan 1, 2010",,312166,Avatar,4.76,131084147.2,0.011335544
gr3486798341,Italy,"Jan 15, 2010",13889941,93746295,Avatar,10.92,57232631.17,17.88681597
gr3486798341,China,"Jan 4, 2010",40934351,202619650,Avatar,12.23,1183876577,2.093155966
gr3436466693,Venezuela,"Nov 12, 2010",63716,306686,Avatar,12,21213332.5,0.173486745
gr3436466693,Peru,"Nov 4, 2010",79000,247717,Avatar,5.33,23589718.17,0.055970639
gr3436466693,Norway,"Nov 5, 2010",22412,52817,Avatar,18.14,4502651.167,0.212785833
gr3436466693,Trinidad & Tobago,"Oct 13, 2010",,72923,Avatar,7,1254200,0.407001276
gr3436466693,Cambodia,"Oct 13, 2011",,9794,Avatar,4,10975392.17,0.00356944
gr3436466693,Mexico,"Oct 15, 2010",238383,680341,Avatar,4.5,90853938.33,0.033697323
gr3436466693,Brazil,"Oct 15, 2010",119686,557421,Avatar,7.65,157978981.5,0.026992646
gr3436466693,Turkey,"Oct 15, 2010",,215981,Avatar,6.27,58780047.17,0.023038445
gr3436466693,East Africa,"Oct 15, 2010",9565,58787,Avatar,5.12,218816136,0.001375536
gr3436466693,Japan,"Oct 16, 2010",,1350577,Avatar,17.67,121632403.2,0.196203437
gr3436466693,Finland,"Oct 29, 2010",6017,55078,Avatar,16.39,5081881.167,0.177636665
gr3436466693,Colombia,"Oct 8, 2010",121125,384565,Avatar,4.86,36203117.5,0.051624999
gr3436466693,Switzerland,"Sep 1, 2010",,272704,Avatar,20.21,7115768.333,0.774526036
gr3436466693,France,"Sep 1, 2010",459546,1238996,Avatar,12.29,58077819.17,0.262187201
gr3436466693,Indonesia,"Sep 1, 2010",,177789,Avatar,3.87,195087678.2,0.003526842
gr3436466693,Denmark,"Sep 16, 2010",86781,247493,Avatar,16.47,5314090.167,0.767056934
gr3453243909,Mexico,"Sep 16, 2011",94074,278713,Avatar,4.5,90853938.33,0.013804668
gr3436466693,Germany,"Sep 2, 2010",,5701431,Avatar,12.29,80321215.83,0.872379561
gr3436466693,Chile,"Sep 2, 2010",66127,208715,Avatar,7.09,14333032.5,0.103243284
gr3436466693,Netherlands,"Sep 2, 2010",,53164,Avatar,12.29,15309963.83,0.042677146
gr3436466693,Argentina,"Sep 23, 2010",150305,572030,Avatar,8,34559675.5,0.132415595
gr3436466693,Spain,"Sep 24, 2010",772663,2687307,Avatar,10.92,40882502.83,0.717798334
gr3436466693,Belgium,"Sep 8, 2010",41832,346931,Avatar,12.29,10386352.33,0.41051775
gr3436466694,,"Sep 8, 2011",,,Avatar,,10386352.33,0.41051775
